class:method:signature:line,sbfl_score
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:75,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:65,0.017543859649122806
org.apache.commons.lang3.StringUtils:isEmpty:(Ljava/lang/CharSequence;)Z:191,0.011764705882352941
org.apache.commons.lang3.SystemUtils:isJavaVersionAtLeast:(F)Z:1274,0.00909090909090909
org.apache.commons.lang3.SystemUtils:<clinit>:()V:862,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:529,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:546,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:563,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:580,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:597,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:614,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:630,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:646,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:662,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:679,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:698,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:717,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:733,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:751,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:767,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:784,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:798,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:818,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:833,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:846,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:854,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:512,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:105,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:477,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:275,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:122,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:138,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:154,0.0018181818181818182
